<INTEIRO , inteiro>
<DOISPONTOS , :>
<IDENTIFICADOR , a>
<INTEIRO , inteiro>
<DOISPONTOS , :>
<IDENTIFICADOR , b>
<INTEIRO , inteiro>
<DOISPONTOS , :>
<IDENTIFICADOR , c>
<ABRECOL , [>
<FECHACOL , ]>
<FLUTUANTE , flutuante>
<DOISPONTOS , :>
<IDENTIFICADOR , d>
<ABRECOL , [>
<NUMERO , 10>
<FECHACOL , ]>
<ABRECOL , [>
<FECHACOL , ]>
<FLUTUANTE , flutuante>
<DOISPONTOS , :>
<IDENTIFICADOR , e>
<ABRECOL , [>
<NUMERO , 1024>
<FECHACOL , ]>
<ABRECOL , [>
<INTEIRO , inteiro>
<PRINCIPAL , principal>
<ABREPAR , (>
<FECHAPAR , )>
<LEIA , leia>
<ABREPAR , (>
<IDENTIFICADOR , a>
<FECHAPAR , )>
<ESCREVA , escreva>
<ABREPAR , (>
<IDENTIFICADOR , b>
<FECHAPAR , )>
<FIM , fim>
